Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,Region,State,City,Product_Category,Product,Quantity,Unit_Price,Discount,Sales,Payment_Method,Order_Status,Salesperson
ORD00001,2025-01-07,CUST0100,Sneha Das,Female,19.0,South,Kerala,Kochi,Electronics,Tablet,3,17844.0,0,53532.0,Debit Card,Delivered,Divya Sharma
ORD00002,2025-11-12,CUST0188,Pooja Patel,Male,20.0,South,Kerala,Kochi,Clothing,Jeans,3,1582.58,5,4510.35,Cash,Delivered,Vijay Reddy
ORD00003,2024-04-01,CUST0264,Naveen Patel,Female,53.0,West,Maharashtra,Pune,Groceries,Coffee,3,441.75,0,1325.25,UPI,Delivered,Ananya Sharma
ORD00004,2024-09-26,CUST0271,Sneha Iyer,Female,57.0,West,Maharashtra,Pune,Clothing,Dress,8,2296.85,20,0.0,Cash,Cancelled,Suresh Sharma
ORD00005,2025-06-04,CUST0129,Neha Das,Male,28.0,West,Goa,Panaji,Furniture,Sofa,3,26996.48,5,76939.97,UPI,Delivered,Sneha Patel
ORD00006,2024-02-17,CUST0062,Karthik Patel,Female,39.0,North,Rajasthan,Jaipur,Electronics,Smartphone,1,29626.7,10,26664.03,Net Banking,Delivered,Arun Patel
ORD00007,2024-01-15,CUST0042,Suresh Patel,Male,56.0,South,Andhra Pradesh,Vijayawada,Home Appliances,Water Purifier,3,14606.97,10,39438.82,Credit Card,Delivered,Ananya Reddy
ORD00008,2025-07-31,CUST0170,Suresh Gupta,Male,45.0,South,Kerala,Kochi,Clothing,Dress,1,2051.1,5,1948.54,Cash,Delivered,Neha Singh
ORD00009,2025-09-24,CUST0116,Suresh Gupta,Male,23.0,East,Bihar,Patna,Furniture,Sofa,2,29822.59,5,56662.92,Credit Card,Delivered,Ravi Reddy
ORD00010,2025-05-11,CUST0052,Neha Iyer,Male,54.0,North,Uttar Pradesh,Lucknow,Furniture,Bookshelf,2,5516.54,15,9378.12,UPI,Delivered,Vikram Kumar
ORD00011,2025-12-10,CUST0247,Ananya Iyer,Female,34.0,East,Odisha,Bhubaneswar,Electronics,Laptop,3,56590.21,10,152793.57,Debit Card,Delivered,Karthik Singh
ORD00012,2025-02-06,CUST0147,Isha Iyer,Male,50.0,East,Odisha,Bhubaneswar,Clothing,T-Shirt,1,700.92,15,0.0,Credit Card,Cancelled,Vijay Sharma
ORD00013,2024-05-23,CUST0112,Isha Kumar,Male,65.0,North,Rajasthan,Jaipur,Furniture,Office Chair,1,7549.74,15,6417.28,Net Banking,Delivered,Karthik Reddy
ORD00014,2025-11-03,CUST0116,Amit Kumar,Male,55.0,East,Bihar,Patna,Furniture,Bookshelf,4,5805.06,20,18576.19,Debit Card,Delivered,Rahul Gupta
ORD00015,2025-08-02,CUST0289,Kavya Reddy,Male,25.0,North,Delhi,New Delhi,Furniture,Study Table,2,8925.73,25,13388.6,Cash,Delivered,Vikram Kumar
