PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,3,"White, Albert",male,1.7,0,0,22.69,C
2,0,3,"Williams, Dorothy",female,20.2,0,0,23.52,Q
3,0,2,"Jones, Dorothy",female,17.5,0,1,28.84,S
4,0,3,"Davis, John",male,31.3,0,2,24.55,Q
5,0,3,"Miller, Charles",male,30.5,1,1,44.89,S
6,0,1,"Wilson, Henry",male,6.5,2,1,96.83,S
7,0,3,"Johnson, Robert",male,19.5,1,1,46.7,S
8,0,3,"Moore, Evelyn",female,36.3,0,0,18.89,S
9,0,3,"Anderson, Frederick",male,7.2,0,1,16.86,S
10,0,3,"Martin, Evelyn",female,3.5,1,0,32.57,S
11,0,3,"Anderson, Joseph",male,0.5,0,2,38.41,S
12,1,2,"Smith, Alice",female,22.0,3,0,58.75,S
13,1,3,"Anderson, Alice",female,18.5,2,0,53.79,C
14,0,3,"Miller, Charles",male,40.1,1,0,30.66,C
15,1,1,"Davis, Joseph",male,19.9,3,1,120.2,Q
16,1,1,"Davis, Charles",male,32.8,0,0,144.71,S
17,0,2,"Williams, Robert",male,40.4,1,2,51.94,S
18,0,3,"Johnson, James",male,19.4,0,1,24.53,C
19,0,3,"Davis, Frederick",male,33.2,2,0,28.84,S
20,0,1,"White, William",male,43.0,0,1,100.43,S
21,1,3,"Davis, Thomas",male,11.7,1,1,31.51,S
22,0,2,"Johnson, George",male,29.3,2,0,41.03,
23,0,3,"Anderson, Frederick",male,19.5,0,0,49.07,S
24,0,3,"Smith, Edward",male,12.6,0,0,14.66,S
25,0,3,"Williams, James",male,7.5,1,0,28.0,S
26,1,3,"Moore, Emily",female,12.3,0,0,30.05,S
27,1,2,"Williams, William",male,29.8,0,2,33.56,S
28,0,2,"Thomas, Charles",male,6.4,0,0,54.3,S
29,1,1,"Anderson, James",male,9.9,0,1,97.54,S
30,0,3,"Davis, Edward",male,40.4,2,0,31.61,S
31,0,3,"Davis, Albert",male,35.3,0,0,32.91,S
32,0,3,"Smith, James",male,21.6,0,1,28.4,S
33,1,3,"Martin, Thomas",male,0.5,0,2,37.11,S
34,0,3,"Taylor, Edith",female,55.5,0,0,13.26,S
35,1,3,"Smith, Anna",female,29.4,0,0,13.97,S
